year;country;place;pts;tele;jury;qualified;odds_final;odds_qualify;semi_final;final_ro;semi_ro;artist;song;language
2017;Bulgaria;2;615;278;337;1;1;1;2;25;15;Kristian Kostov;Beautiful Mess;English
2017;Moldova;3;374;110;264;1;9;5;1;7;12;SunStroke Project;Hey Mamma;English
2017;Belgium;4;363;108;255;1;4;7;1;23;5;Blanche;City Lights;English
2017;Sweden;5;344;218;126;1;6;1;1;24;1;Robin Bengtsson;I Can't Go On;English
2017;Italy;6;334;126;208;1;3;0;0;9;0;Francesco Gabbani;Occidentali's Karma;Italian
2017;Romania;7;282;58;224;1;5;2;2;20;5;Ilinca feat. Alex Florea;Yodel It!;English
2017;Hungary;8;200;48;152;1;17;6;2;8;7;Joci Pápai;Origo;Hungarian
2017;Australia;9;173;171;2;1;14;9;1;14;3;Isaiah;Don't Come Easy;English
2017;Norway;10;158;129;29;1;12;11;2;17;12;Jowst;Grab the Moment;English
2017;Netherlands;11;150;135;15;1;13;3;2;6;6;OG3NE;Lights and Shadows;English
2017;France;12;135;45;90;1;10;0;0;26;0;Alma;Requiem;French, English
2017;Croatia;13;128;25;103;1;7;9;2;13;11;Jacques Houdek;My Friend;English, Italian
2017;Azerbaijan;14;120;78;42;1;16;4;1;12;8;Dihaj;Skeletons;English
2017;United Kingdom;15;111;99;12;1;8;0;0;18;0;Lucie Jones;Never Give Up on You;English
2017;Austria;16;93;93;0;1;21;10;2;4;2;Nathan Trent;Running on Air;English
2017;Belarus;17;83;50;33;1;22;8;2;3;14;Naviband;Story of My Life;Belarusian
2017;Armenia;18;79;58;21;1;11;2;1;5;16;Artsvik;Fly with Me;English
2017;Greece;19;77;48;29;1;20;6;1;15;10;Demy;This Is Love;English
2017;Denmark;20;77;69;8;1;15;5;2;10;8;Anja Nissen;Where I Am;English
2017;Cyprus;21;68;36;32;1;23;10;1;19;15;Hovig;Gravity;English
2017;Poland;22;64;23;41;1;19;11;1;2;11;Kasia Moś;Flashlight;English
2017;Israel;23;39;34;5;1;25;4;2;1;18;Imri;I Feel Alive;English
2017;Ukraine;24;36;12;24;1;24;0;0;22;0;O.Torvald;Time;English
2017;Germany;25;6;3;3;1;18;0;0;21;0;Levina;Perfect Life;English
2017;Spain;26;5;0;5;1;26;0;0;16;0;Manel Navarro;Do It for Your Lover;Spanish, English
2017;Georgia;27;99;62;37;0;0;13;1;0;2;Tamara Gachechiladze;Keep the Faith;English
2017;Serbia;28;98;53;45;0;0;12;2;0;1;Tijana Bogićević;In Too Deep;English
2017;Switzerland;29;97;48;49;0;0;13;2;0;13;Timebelle;Apollo;English
2017;Finland;30;92;41;51;0;0;8;1;0;7;Norma John;Blackbird;English
2017;Ireland;31;86;45;41;0;0;16;2;0;9;Brendan Murray;Dying to Try;English
2017;Estonia;32;85;16;69;0;0;7;2;0;17;Koit Toome and Laura;Verona;English
2017;Czech Republic;33;83;81;2;0;0;18;1;0;14;Martina Bárta;My Turn;English
2017;Albania;34;76;38;38;0;0;17;1;0;4;Lindita;World;English
2017;North Macedonia;35;69;29;40;0;0;14;2;0;3;Jana Burčeska;Dance Alone;English
2017;Iceland;36;60;29;31;0;0;15;1;0;13;Svala;Paper;English
2017;Montenegro;37;56;17;39;0;0;16;1;0;6;Slavko Kalezić;Space;English
2017;Malta;38;55;55;0;0;0;15;2;0;4;Claudia Faniello;Breathlessly;English
2017;Lithuania;39;42;17;25;0;0;17;2;0;16;Fusedmarc;Rain of Revolution;English
2017;Slovenia;40;36;16;20;0;0;14;1;0;17;Omar Naber;On My Way;English
2017;Latvia;41;21;1;20;0;0;12;1;0;18;Triana Park;Line;English
2017;San Marino;42;1;0;1;0;0;18;1;0;10;Valentina Monetta and Jimmie Wilson;Spirit of the Night;English
2016;Ukraine;1;534;323;211;1;3;1;2;21;14;Jamala;1944;English, Crimean Tatar
2016;Australia;2;511;191;320;1;2;2;2;13;10;Dami Im;Sound of Silence;English
2016;Russia;3;491;361;130;1;1;1;1;18;9;Sergey Lazarev;You Are the Only One;English
2016;Bulgaria;4;307;180;127;1;8;6;2;8;12;Poli Genova;If Love Was a Crime;English, Bulgarian
2016;Sweden;5;261;139;122;1;4;0;0;9;0;Frans;If I Were Sorry;English
2016;France;6;257;109;148;1;5;0;0;11;0;Amir;J'ai cherché;French, English
2016;Armenia;7;249;134;115;1;6;2;1;26;7;Iveta Mukuchyan;LoveWave;English
2016;Poland;8;229;222;7;1;18;9;2;12;2;Michał Szpak;Color of Your Life;English
2016;Lithuania;9;200;96;104;1;19;8;2;16;9;Donny Montell;I've Been Waiting for This Night;English
2016;Belgium;10;181;51;130;1;14;5;2;1;18;Laura Tesoro;What's the Pressure;English
2016;Netherlands;11;153;39;114;1;11;4;1;3;6;Douwe Bob;Slow Down;English
2016;Malta;12;153;16;137;1;7;3;1;22;18;Ira Losco;Walk on Water;English
2016;Austria;13;151;120;31;1;12;12;1;24;7;Zoë;Loin d'ici;French
2016;Israel;14;135;11;124;1;17;7;2;7;4;Hovi Star;Made of Stars;English
2016;Latvia;15;132;63;69;1;13;4;2;20;1;Justs;Heartbeat;English
2016;Italy;16;124;34;90;1;15;0;0;6;0;Francesca Michielin;No Degree of Separation;Italian, English
2016;Azerbaijan;17;117;73;44;1;21;9;1;4;14;Samra;Miracle;English
2016;Serbia;18;115;80;35;1;20;3;2;15;6;Sanja Vučić ZAA;Goodbye (Shelter);English
2016;Hungary;19;108;56;52;1;22;7;1;5;4;Freddie;Pioneer;English
2016;Georgia;20;104;24;80;1;24;11;2;23;16;Nika Kocharov and Young Georgian Lolitaz;Midnight Gold;English
2016;Cyprus;21;96;53;43;1;16;6;1;14;11;Minus One;Alter Ego;English
2016;Spain;22;77;10;67;1;10;0;0;19;0;Barei;Say Yay!;English
2016;Croatia;23;73;33;40;1;23;10;1;17;5;Nina Kraljić;Lighthouse;English
2016;United Kingdom;24;62;8;54;1;9;0;0;25;0;Joe and Jake;You're Not Alone;English
2016;Czech Republic;25;41;0;41;1;25;8;1;2;10;Gabriela Gunčíková;I Stand;English
2016;Germany;26;11;10;1;1;26;0;0;10;0;Jamie-Lee;Ghost;English
2016;Bosnia & Herzegovina;27;104;26;78;0;0;11;1;0;17;Dalal and Deen feat. Ana Rucner and Jala;Ljubav je;Bosnian
2016;North Macedonia;28;88;34;54;0;0;12;2;0;8;Kaliopi;Dona (Дона);Macedonian
2016;Belarus;29;84;32;52;0;0;14;2;0;5;Ivan;Help You Fly;English
2016;San Marino;30;68;19;49;0;0;17;1;0;8;Serhat;I Didn't Know;English
2016;Norway;31;63;29;34;0;0;10;2;0;15;Agnete;Icebreaker;English
2016;Montenegro;32;60;46;14;0;0;18;1;0;15;Highway;The Real Thing;English
2016;Slovenia;33;57;49;8;0;0;16;2;0;11;ManuElla;Blue and Red;English
2016;Iceland;34;51;27;24;0;0;5;1;0;16;Greta Salóme;Hear Them Calling;English
2016;Finland;35;51;35;16;0;0;15;1;0;1;Sandhja;Sing It Away;English
2016;Ireland;36;46;15;31;0;0;15;2;0;7;Nicky Byrne;Sunlight;English
2016;Albania;37;45;10;35;0;0;17;2;0;17;Eneda Tarifa;Fairytale;English
2016;Greece;38;44;22;22;0;0;14;1;0;2;Argo;Utopian Land;English, Greek
2016;Denmark;39;34;10;24;0;0;13;2;0;13;Lighthouse X;Soldiers of Love;English
2016;Moldova;40;33;24;9;0;0;16;1;0;3;Lidia Isac;Falling Stars;English
2016;Switzerland;41;28;25;3;0;0;18;2;0;3;Rykka;The Last of Our Kind;English
2016;Estonia;42;24;9;15;0;0;13;1;0;13;Jüri Pootsmann;Play;English
2015;Sweden;1;365;279;363;1;1;1;2;10;13;Måns Zelmerlöw;Heroes;English
2015;Russia;2;303;286;247;1;2;1;1;25;12;Polina Gagarina;A Million Voices;English
2015;Italy;3;292;366;184;1;3;0;0;27;0;Il Volo;Grande amore;Italian
2015;Belgium;4;217;195;187;1;4;7;1;13;3;Loïc Nottet;Rhythm Inside;English
2015;Australia;5;196;132;224;1;5;0;0;12;0;Guy Sebastian;Tonight Again;English
2015;Latvia;6;186;100;249;1;9;5;2;19;10;Aminata;Love Injected;English
2015;Estonia;7;106;144;56;1;6;2;1;4;7;Elina Born and Stig Rästa;Goodbye to Yesterday;English
2015;Norway;8;102;43;163;1;8;2;2;9;6;Mørland and Debrah Scarlett;A Monster Like Me;English
2015;Israel;9;97;104;80;1;10;6;2;3;9;Nadav Guedj;Golden Boy;English
2015;Serbia;10;53;86;34;1;7;13;1;8;9;Bojana Stamenov;Beauty Never Lies;English
2015;Georgia;11;51;52;62;1;14;4;1;23;16;Nina Sublatti;Warrior;English
2015;Azerbaijan;12;49;48;48;1;11;3;2;24;11;Elnur Hüseynov;Hour of the Wolf;English
2015;Montenegro;13;44;34;48;1;26;12;2;16;4;Knez;Adio (Адио);Montenegrin
2015;Slovenia;14;39;27;48;1;13;4;2;1;16;Maraaya;Here for You;English
2015;Romania;15;35;69;21;1;17;3;1;20;15;Voltaj;De la capăt;Romanian, English
2015;Armenia;16;34;75;18;1;18;6;1;6;2;Genealogy;Face the Shadow;English
2015;Albania;17;34;93;26;1;19;8;1;26;14;Elhaida Dani;I'm Alive;English
2015;Lithuania;18;30;44;31;1;23;8;2;7;1;Monika Linkytė and Vaidas Baumila;This Time;English
2015;Greece;19;23;24;29;1;16;5;1;15;6;Maria Elena Kyriakou;One Last Breath;English
2015;Hungary;20;19;21;29;1;21;10;1;22;10;Boggie;Wars for Nothing;English
2015;Spain;21;15;26;8;1;12;0;0;21;0;Edurne;Amanecer;Spanish
2015;Cyprus;22;11;8;63;1;20;7;2;11;15;John Karayiannis;One Thing I Should Have Done;English
2015;Poland;23;10;47;2;1;24;10;2;18;17;Monika Kuszyńska;In the Name of Love;English
2015;United Kingdom;24;5;7;12;1;15;0;0;5;0;Electro Velvet;Still in Love with You;English
2015;France;25;4;4;24;1;22;0;0;2;0;Lisa Angell;N'oubliez pas;French
2015;Austria;26;0;0;40;1;25;0;0;14;0;The Makemakes;I Am Yours;English
2015;Germany;27;0;5;24;1;27;0;0;17;0;Ann Sophie;Black Smoke;English
2015;Malta;28;43;32;84;0;0;11;2;0;5;Amber;Warrior;English
2015;Moldova;29;41;48;46;0;0;15;1;0;1;Eduard Romanyuta;I Want Your Love;English
2015;Belarus;30;39;32;66;0;0;9;1;0;11;Uzari and Maimuna;Time;English
2015;Ireland;31;35;14;84;0;0;15;2;0;2;Molly Sterling;Playing with Numbers;English
2015;Denmark;32;33;23;58;0;0;12;1;0;13;Anti Social Media;The Way You Are;English
2015;Netherlands;33;33;23;70;0;0;16;1;0;4;Trijntje Oosterhuis;Walk Along;English
2015;Czech Republic;34;33;51;34;0;0;14;2;0;8;Marta Jandová and Václav Noid Bárta;Hope Never Dies;English
2015;North Macedonia;35;28;22;42;0;0;14;1;0;8;Daniel Kajmakoski;Autumn Leaves;English
2015;Portugal;36;19;16;23;0;0;16;2;0;7;Leonor Andrade;Há um mar que nos separa;Portuguese
2015;Iceland;37;14;21;15;0;0;9;2;0;12;Maria Olafs;Unbroken;English
2015;Finland;38;13;1;55;0;0;11;1;0;5;Pertti Kurikan Nimipäivät;Aina mun pitää;Finnish
2015;San Marino;39;11;16;6;0;0;17;2;0;3;Anita Simoncini and Michele Perniola;Chain of Lights;English
2015;Switzerland;40;4;6;15;0;0;13;2;0;14;Mélanie René;Time to Shine;English
